"Title","Author"
"TOO MUCH AND NEVER ENOUGH","by Mary L. Trump"
"WHITE FRAGILITY","by Robin DiAngelo"
"ON TYRANNY","by Timothy Snyder"
"HOW TO BE AN ANTIRACIST","by Ibram X. Kendi"
"UNTAMED","by Glennon Doyle"
"THE ANSWER IS ...","by Alex Trebek"
"BEGIN AGAIN","by Eddie S. Glaude Jr."
"HOW TO DESTROY AMERICA IN THREE EASY STEPS","by Ben Shapiro"
"THE ROOM WHERE IT HAPPENED","by John Bolton"
"SO YOU WANT TO TALK ABOUT RACE","by Ijeoma Oluo"
"INTIMATIONS","by Zadie Smith"
"BREATH","by James Nestor"
"I'LL BE GONE IN THE DARK","by Michelle McNamara"
"EDUCATED","by Tara Westover"
"THE SPLENDID AND THE VILE","by Erik Larson"
"Title","Author"
"TOO MUCH AND NEVER ENOUGH","by Mary L. Trump"
"WHITE FRAGILITY","by Robin DiAngelo"
"ON TYRANNY","by Timothy Snyder"
"HOW TO BE AN ANTIRACIST","by Ibram X. Kendi"
"UNTAMED","by Glennon Doyle"
"THE ANSWER IS ...","by Alex Trebek"
"BEGIN AGAIN","by Eddie S. Glaude Jr."
"HOW TO DESTROY AMERICA IN THREE EASY STEPS","by Ben Shapiro"
"THE ROOM WHERE IT HAPPENED","by John Bolton"
"SO YOU WANT TO TALK ABOUT RACE","by Ijeoma Oluo"
"INTIMATIONS","by Zadie Smith"
"BREATH","by James Nestor"
"I'LL BE GONE IN THE DARK","by Michelle McNamara"
"EDUCATED","by Tara Westover"
"THE SPLENDID AND THE VILE","by Erik Larson"
